custId,TransDate,TransAmnt,TransType
23262,12/4/2016,12000,Credit
23262,12/5/2016,10000,Debit
23262,12/6/2016,500,Debit
23262,12/7/2016,500,Debit
23262,12/8/2016,500,Debit
23262,12/9/2016,1466,Credit
23263,12/8/2016,40000,Credit
23263,12/8/2016,12000,Debit
23263,12/8/2016,5000,Credit
23263,12/8/2016,20000,Debit
23263,12/8/2016,2000,Debit
23263,12/8/2016,2000,Debit
23263,12/8/2016,1000,Debit
23263,12/8/2016,1000,Debit
23263,12/8/2016,1000,Debit
23263,12/8/2016,500,Debit
23263,12/8/2016,2500,Debit
23263,12/8/2016,3000,Debit
23264,12/8/2016,40000,Credit
23264,12/8/2016,5000,Debit
23264,12/8/2016,20000,Debit
23264,12/8/2016,10000,Debit
23264,12/8/2016,5000,Debit
23264,12/8/2016,1000,Credit
23264,12/8/2016,1000,Debit
23265,12/8/2016,20000,Credit
23265,12/8/2016,10000,Debit
23265,12/8/2016,2000,Debit
23265,12/8/2016,8000,Debit
23266,12/8/2016,51600,Credit
23266,12/8/2016,30000,Debit
23266,12/8/2016,3000,Debit
23266,12/8/2016,10000,Debit
23266,12/8/2016,5000,Debit
23266,12/8/2016,2000,Debit
23266,12/8/2016,1000,Debit
23267,12/8/2016,14000,Credit
23267,12/8/2016,7000,Debit
23267,12/8/2016,5000,Debit
23267,12/8/2016,2000,Debit
23268,12/8/2016,21000,Credit
23268,12/8/2016,10000,Debit
23268,12/8/2016,1000,Debit
23268,12/8/2016,1000,Debit
23268,12/8/2016,8000,Debit
23268,12/8/2016,1000,Debit
23269,12/8/2016,83000,Credit
23269,12/8/2016,30000,Debit
23269,12/8/2016,10000,Debit
23269,12/8/2016,10000,Debit
23269,12/8/2016,20000,Debit
23269,12/8/2016,3000,Debit
23269,12/8/2016,5000,Debit
23269,12/8/2016,2000,Debit
23269,12/8/2016,1000,Debit
23269,12/8/2016,1000,Debit
23269,12/8/2016,1000,Debit
23270,12/8/2016,541000,Credit
23270,12/8/2016,100000,Debit
23270,12/8/2016,50000,Debit
23270,12/8/2016,100000,Debit
23270,12/8/2016,50000,Debit
23270,12/4/2016,30000,Debit
23270,12/5/2016,30000,Debit
23270,12/6/2016,30000,Debit
23270,12/7/2016,10000,Debit
23270,12/8/2016,10000,Debit
23270,12/9/2016,90000,Debit
23270,12/8/2016,20000,Debit
23270,12/8/2016,21000,Debit
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
